leaderboard_publish_date,elo_max,lag_1,lag_2,lag_4,lag_8,lag_12,roll_mean_4,roll_mean_12,roll_std_4,week_of_year,week_sin,week_cos,t
2024-07-14,1287.4660504645813,1287.3959975556716,1287.0196469719676,1282.224353774267,1286.6349805191508,1258.8236517153468,1284.9687582504246,1275.8276328512804,2.6226696622546197,28,-0.23931566428755743,-0.9709418174260521,61
2024-07-21,1286.89343680061,1287.4660504645813,1287.3959975556716,1283.2350346997923,1286.7607663626156,1257.3994068657073,1286.2791824230032,1278.2144994137168,2.0388767248784974,29,-0.3546048870425356,-0.9350162426854148,62
2024-07-28,1286.72314411263,1286.89343680061,1287.4660504645813,1287.0196469719676,1281.8854138421657,1258.8152791324717,1287.1937829482076,1280.6723352416254,0.28020914487658444,30,-0.46472317204376806,-0.8854560256532101,63
2024-08-04,1285.8850127576295,1286.72314411263,1286.89343680061,1287.3959975556716,1282.102525498453,1257.634537277757,1287.1196572333733,1282.9979906566384,0.36731030639468,31,-0.5680647467311556,-0.8229838658936566,64
2024-08-11,1286.1295998590049,1285.8850127576295,1286.72314411263,1287.4660504645813,1282.224353774267,1286.6349805191508,1286.7419110338626,1285.352196946628,0.6536984081182519,32,-0.663122658240795,-0.7485107481711013,65
2024-08-18,1285.743838183107,1286.1295998590049,1285.8850127576295,1286.89343680061,1283.2350346997923,1286.7607663626156,1286.4077983824686,1285.3100818916157,0.47818644577779507,33,-0.7485107481711011,-0.6631226582407952,66
2024-08-25,1316.8023351337524,1285.743838183107,1286.1295998590049,1286.72314411263,1287.0196469719676,1281.8854138421657,1286.1203987280928,1285.2253378766568,0.43227732556657117,34,-0.8229838658936564,-0.5680647467311559,67
2024-09-01,1316.1559008799543,1316.8023351337524,1285.743838183107,1285.8850127576295,1287.3959975556716,1282.102525498453,1293.6401964833735,1288.1350813176223,15.442248082664435,35,-0.8854560256532096,-0.4647231720437691,68
2024-09-08,1315.6201862465268,1316.1559008799543,1316.8023351337524,1286.1295998590049,1287.4660504645813,1282.224353774267,1301.2079185139546,1290.9728625994142,17.63634013871404,36,-0.9350162426854147,-0.3546048870425359,69
2024-09-15,1293.963559415107,1315.6201862465268,1316.1559008799543,1285.743838183107,1286.89343680061,1283.2350346997923,1308.580565110835,1293.755848638769,15.232154332534115,37,-0.970941817426052,-0.23931566428755774,70
2024-09-22,1355.2309449872544,1293.963559415107,1315.6201862465268,1316.8023351337524,1286.72314411263,1287.0196469719676,1310.635495418835,1294.6498923650452,11.125127434248293,38,-0.992708874098054,-0.12053668025532357,71
2024-09-29,1339.0830729150762,1355.2309449872544,1293.963559415107,1316.1559008799543,1285.8850127576295,1287.3959975556716,1320.2426478822106,1300.3341671996525,25.513656980831346,39,-1.0,-1.8369701987210297e-16,72
2024-10-06,1339.0830729150762,1339.0830729150762,1355.2309449872544,1315.6201862465268,1286.1295998590049,1287.4660504645813,1325.974440890991,1304.6414234796027,26.830867718501207,40,-0.992708874098054,0.1205366802553232,73
2024-10-13,1335.196869358594,1339.0830729150762,1339.0830729150762,1293.963559415107,1285.743838183107,1286.89343680061,1331.8401625581284,1308.9428420171441,26.373504818145918,41,-0.9709418174260521,0.23931566428755738,74
2024-10-20,1334.7287976430284,1335.196869358594,1339.0830729150762,1355.2309449872544,1316.8023351337524,1286.72314411263,1342.1484900440003,1312.9681280636428,8.911962407250776,42,-0.9350162426854148,0.35460488704253557,75
2024-10-27,1336.8377171483123,1334.7287976430284,1335.196869358594,1339.0830729150762,1316.1559008799543,1285.8850127576295,1337.0229532079438,1316.9685991911758,2.3864840523541204,43,-0.8854560256532101,0.464723172043768,76
2024-11-03,1335.1365547953826,1336.8377171483123,1334.7287976430284,1339.0830729150762,1315.6201862465268,1286.1295998590049,1336.4616142662528,1321.2146578903994,1.9677171169198815,44,-0.822983865893657,0.5680647467311548,77
2024-11-10,1334.0460294036152,1335.1365547953826,1336.8377171483123,1335.196869358594,1293.963559415107,1285.743838183107,1335.4749847363294,1325.2985708017643,0.9319724232761166,45,-0.7485107481711011,0.6631226582407952,78
2024-11-17,1333.0761334393285,1334.0460294036152,1335.1365547953826,1334.7287976430284,1355.2309449872544,1316.8023351337524,1335.1872747475845,1329.3237534034733,1.1887212768778301,46,-0.6631226582407955,0.7485107481711007,79
2024-11-24,1333.5611914843353,1333.0761334393285,1334.0460294036152,1336.8377171483123,1339.0830729150762,1316.1559008799543,1334.7741086966596,1330.6799032622714,1.6127684735448582,47,-0.5680647467311559,0.8229838658936564,80
2024-12-01,1333.9123140758843,1333.5611914843353,1333.0761334393285,1335.1365547953826,1339.0830729150762,1315.6201862465268,1333.9549772806654,1332.1303441459697,0.8816366718258245,48,-0.4647231720437684,0.88545602565321,81
2024-12-08,1334.3300505781508,1333.9123140758843,1333.5611914843353,1334.0460294036152,1335.196869358594,1293.963559415107,1333.6489171007909,1333.6546881317497,0.4331485712243707,49,-0.35460488704253595,0.9350162426854147,82
2024-12-15,1333.9512321543066,1334.3300505781508,1333.9123140758843,1333.0761334393285,1334.7287976430284,1355.2309449872544,1333.7199223944247,1337.0185623953364,0.5319557250658535,50,-0.2393156642875578,0.970941817426052,83
2024-12-22,1334.6170735724131,1333.9512321543066,1334.3300505781508,1333.5611914843353,1336.8377171483123,1339.0830729150762,1333.9386970731694,1335.2452529925908,0.3143889450795508,51,-0.12053668025532363,0.992708874098054,84
2024-12-29,1334.6170735724131,1334.6170735724131,1333.9512321543066,1333.9123140758843,1335.1365547953826,1339.0830729150762,1334.2026675951886,1334.8730863807023,0.334406780986366,52,6.432490598706546e-16,1.0,85
2025-01-05,1351.6329738660747,1334.6170735724131,1334.6170735724131,1334.3300505781508,1334.0460294036152,1335.196869358594,1334.378857469321,1334.5009197688137,0.3155626437063239,1,0.12053668025532305,0.992708874098054,86
2025-01-12,1351.6329738660747,1351.6329738660747,1334.6170735724131,1333.9512321543066,1333.0761334393285,1334.7287976430284,1338.704588291302,1335.8705951444372,8.62463721535504,2,0.23931566428755774,0.970941817426052,87
